starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:37 2021	1627975957	0	740	740	739
Tue Aug 03 16:32:41 2021	1627975961	0	740	740	740
Tue Aug 03 16:32:47 2021	1627975967	0	740	741	740
Tue Aug 03 16:32:46 2021	1627975966	0	740	741	740
Tue Aug 03 16:32:37 2021	1627975957	0	741	741	740
Tue Aug 03 16:32:45 2021	1627975965	0	741	741	740
Tue Aug 03 16:32:32 2021	1627975952	2	739	741	737
Tue Aug 03 16:32:33 2021	1627975953	0	741	741	741
Tue Aug 03 16:32:42 2021	1627975962	0	742	742	741
Tue Aug 03 16:32:33 2021	1627975953	0	741	742	741
Tue Aug 03 16:32:33 2021	1627975953	0	742	742	741
Tue Aug 03 16:32:33 2021	1627975953	0	742	742	742
Tue Aug 03 16:32:35 2021	1627975955	0	742	742	742
Tue Aug 03 16:32:41 2021	1627975961	0	742	743	742
Tue Aug 03 16:32:43 2021	1627975963	0	742	743	741
Tue Aug 03 16:32:34 2021	1627975954	0	743	743	742
Tue Aug 03 16:32:37 2021	1627975957	0	743	743	742
Tue Aug 03 16:32:37 2021	1627975957	0	743	743	742
Tue Aug 03 16:32:46 2021	1627975966	0	743	743	742
Tue Aug 03 16:32:35 2021	1627975955	0	743	743	743
Tue Aug 03 16:32:40 2021	1627975960	0	743	743	743
Tue Aug 03 16:32:33 2021	1627975953	0	743	744	743
Tue Aug 03 16:32:33 2021	1627975953	0	744	744	743
Tue Aug 03 16:32:42 2021	1627975962	0	744	744	744
Tue Aug 03 16:32:37 2021	1627975957	0	744	744	744
Tue Aug 03 16:32:41 2021	1627975961	0	744	744	744
Tue Aug 03 16:32:47 2021	1627975967	0	744	745	744
Tue Aug 03 16:32:35 2021	1627975955	0	745	745	744
Tue Aug 03 16:32:42 2021	1627975962	0	745	745	744
Tue Aug 03 16:32:33 2021	1627975953	0	745	745	745
Tue Aug 03 16:32:36 2021	1627975956	0	745	745	745
Tue Aug 03 16:32:36 2021	1627975956	0	745	745	745
Tue Aug 03 16:32:46 2021	1627975966	0	745	746	745
Tue Aug 03 16:32:41 2021	1627975961	0	745	746	745
Tue Aug 03 16:32:35 2021	1627975955	0	745	746	745
Tue Aug 03 16:32:46 2021	1627975966	0	746	746	745
Tue Aug 03 16:32:42 2021	1627975962	0	746	746	745
Tue Aug 03 16:32:35 2021	1627975955	0	746	746	745
Tue Aug 03 16:32:47 2021	1627975967	0	746	746	746
Tue Aug 03 16:32:34 2021	1627975954	0	746	746	746
Tue Aug 03 16:32:47 2021	1627975967	0	746	746	746
Tue Aug 03 16:32:46 2021	1627975966	0	746	746	746
Tue Aug 03 16:32:38 2021	1627975958	0	746	747	746
Tue Aug 03 16:32:32 2021	1627975952	2	744	747	744
Tue Aug 03 16:32:37 2021	1627975957	0	747	747	745
Tue Aug 03 16:32:41 2021	1627975961	0	747	747	746
Tue Aug 03 16:32:41 2021	1627975961	0	747	747	746
Tue Aug 03 16:32:35 2021	1627975955	0	747	747	746
Tue Aug 03 16:32:47 2021	1627975967	0	747	747	747
Tue Aug 03 16:32:36 2021	1627975956	0	747	747	747
Tue Aug 03 16:32:34 2021	1627975954	0	747	747	747
Tue Aug 03 16:32:35 2021	1627975955	0	747	748	747
Tue Aug 03 16:32:35 2021	1627975955	0	748	748	747
Tue Aug 03 16:32:33 2021	1627975953	0	748	748	747
Tue Aug 03 16:32:37 2021	1627975957	0	748	748	747
Tue Aug 03 16:32:42 2021	1627975962	0	748	748	747
Tue Aug 03 16:32:41 2021	1627975961	0	748	748	747
Tue Aug 03 16:32:38 2021	1627975958	0	748	748	747
Tue Aug 03 16:32:40 2021	1627975960	0	748	748	748
Tue Aug 03 16:32:33 2021	1627975953	0	748	748	748
Tue Aug 03 16:32:40 2021	1627975960	0	748	748	748
Tue Aug 03 16:32:44 2021	1627975964	0	748	748	748
Tue Aug 03 16:32:37 2021	1627975957	0	748	748	748
Tue Aug 03 16:32:35 2021	1627975955	0	748	749	748
Tue Aug 03 16:32:37 2021	1627975957	0	749	749	748
Tue Aug 03 16:32:37 2021	1627975957	0	749	749	749
Tue Aug 03 16:32:47 2021	1627975967	0	749	749	749
Tue Aug 03 16:32:35 2021	1627975955	0	749	749	749
Tue Aug 03 16:32:33 2021	1627975953	0	749	749	749
Tue Aug 03 16:32:41 2021	1627975961	0	749	749	749
Tue Aug 03 16:32:41 2021	1627975961	0	749	749	749
Tue Aug 03 16:32:35 2021	1627975955	0	749	749	749
Tue Aug 03 16:32:32 2021	1627975952	0	749	749	747
Tue Aug 03 16:32:32 2021	1627975952	0	749	750	749
Tue Aug 03 16:32:35 2021	1627975955	0	749	750	749
Tue Aug 03 16:32:33 2021	1627975953	0	750	750	749
Tue Aug 03 16:32:37 2021	1627975957	0	750	750	749
Tue Aug 03 16:32:37 2021	1627975957	0	751	751	750
Tue Aug 03 16:32:37 2021	1627975957	0	751	751	750
Tue Aug 03 16:32:46 2021	1627975966	0	751	751	750
Tue Aug 03 16:32:38 2021	1627975958	0	751	751	750
Tue Aug 03 16:32:37 2021	1627975957	0	751	751	751
