starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 03 16:32:12 2021	1627975932	0	761	761	760
Tue Aug 03 16:32:11 2021	1627975931	0	761	761	761
Tue Aug 03 16:32:02 2021	1627975922	0	761	761	761
Tue Aug 03 16:32:12 2021	1627975932	0	761	762	761
Tue Aug 03 16:32:10 2021	1627975930	0	761	762	761
Tue Aug 03 16:32:03 2021	1627975923	0	762	762	761
Tue Aug 03 16:32:12 2021	1627975932	0	762	762	761
Tue Aug 03 16:32:04 2021	1627975924	0	762	762	761
Tue Aug 03 16:32:11 2021	1627975931	0	762	762	761
Tue Aug 03 16:32:02 2021	1627975922	0	762	762	762
Tue Aug 03 16:31:59 2021	1627975919	3	760	762	759
Tue Aug 03 16:32:02 2021	1627975922	0	762	762	761
Tue Aug 03 16:32:12 2021	1627975932	0	762	762	762
Tue Aug 03 16:32:11 2021	1627975931	0	762	762	762
Tue Aug 03 16:32:04 2021	1627975924	0	762	762	762
Tue Aug 03 16:32:02 2021	1627975922	0	762	763	762
Tue Aug 03 16:32:05 2021	1627975925	0	762	763	762
Tue Aug 03 16:32:03 2021	1627975923	0	762	763	762
Tue Aug 03 16:32:02 2021	1627975922	0	763	763	762
Tue Aug 03 16:32:09 2021	1627975929	0	763	763	763
Tue Aug 03 16:32:02 2021	1627975922	0	763	763	763
Tue Aug 03 16:32:02 2021	1627975922	0	763	763	762
Tue Aug 03 16:32:02 2021	1627975922	0	763	763	762
Tue Aug 03 16:32:01 2021	1627975921	0	763	763	762
Tue Aug 03 16:32:03 2021	1627975923	0	763	763	755
Tue Aug 03 16:32:01 2021	1627975921	0	763	763	763
Tue Aug 03 16:32:03 2021	1627975923	0	763	763	763
Tue Aug 03 16:32:04 2021	1627975924	0	763	763	763
Tue Aug 03 16:32:04 2021	1627975924	0	763	763	763
Tue Aug 03 16:32:05 2021	1627975925	0	763	764	762
Tue Aug 03 16:32:13 2021	1627975933	0	763	764	763
Tue Aug 03 16:31:59 2021	1627975919	2	761	764	761
Tue Aug 03 16:32:13 2021	1627975933	0	763	764	763
Tue Aug 03 16:32:13 2021	1627975933	0	764	764	763
Tue Aug 03 16:32:03 2021	1627975923	0	764	764	763
Tue Aug 03 16:32:05 2021	1627975925	0	764	764	762
Tue Aug 03 16:32:09 2021	1627975929	0	764	764	763
Tue Aug 03 16:32:01 2021	1627975921	0	764	764	763
Tue Aug 03 16:32:11 2021	1627975931	0	764	764	763
Tue Aug 03 16:32:05 2021	1627975925	0	764	764	764
Tue Aug 03 16:32:12 2021	1627975932	0	764	764	764
Tue Aug 03 16:32:09 2021	1627975929	1	764	764	763
Tue Aug 03 16:32:09 2021	1627975929	0	764	764	764
Tue Aug 03 16:32:04 2021	1627975924	0	764	764	763
Tue Aug 03 16:32:12 2021	1627975932	0	764	764	764
Tue Aug 03 16:32:08 2021	1627975928	0	764	764	763
